year	set	reg	supported	borderline	unsupported	unwritten
2008-05-02	SHM	301	266	23	12	0
2008-07-25	EVE	182	169	6	6	1
2008-08-29	FVD	15	12	3	0	0
2008-09-22	ME2	245	211	17	17	0
2008-10-03	ALA	249	230	11	8	0
2009-01-01	PDP10	3	3	0	0	0
2009-01-01	PMPS09	5	5	0	0	0
2009-02-06	CFX	145	135	9	1	0
2009-04-10	DVD	62	62	0	0	0
2009-04-30	ARB	146	137	7	2	0
2009-07-17	M10	249	234	9	6	0
2009-08-28	FVE	15	12	2	1	0
2009-09-04	HOP	169	152	14	2	1
2009-09-07	ME3	230	202	12	15	1
2009-10-02	ZEN	269	249	20	0	0
2009-10-30	GVL	63	62	1	0	0
2009-11-20	PDS	41	36	3	2	0
2010-01-01	PMPS10	5	5	0	0	0
2010-02-05	WWK	150	137	9	2	2
2010-03-19	PVC	74	63	9	0	2
2010-04-23	ROE	248	227	14	6	1
2010-06-04	DPA	118	110	8	0	0
2010-06-18	ARC	150	138	10	0	2
2010-07-16	M11	251	238	7	6	0
2010-08-27	FVR	15	14	1	0	0
2010-09-03	EVT	79	77	2	0	0
2010-10-01	SOM	251	229	13	9	0
2010-11-08	TD0	201	188	7	4	2
2010-11-19	PD2	34	30	4	0	0
2011-01-01	PDP11	3	1	2	0	0
2011-01-01	PMPS11	5	5	0	0	0
2011-01-01	PS11	234	219	10	1	4
2011-01-10	ME4	269	236	18	15	0
2011-02-04	MBS	155	147	5	3	0
2011-04-01	KVD	81	75	4	2	0
2011-05-12	TD2	95	82	7	0	6
2011-05-13	NPH	175	149	19	6	1
2011-06-17	CMD	318	274	24	19	1
2011-07-15	M12	251	236	7	6	2
2011-08-26	FVL	15	12	3	0	0
2011-09-02	AVN	80	76	4	0	0
2011-09-30	ISD	284	272	8	4	0
2011-11-18	PD3	30	26	4	0	0
2012-01-01	PDP12	3	3	0	0	0
2012-01-01	PIDW	9	9	0	0	0
2012-02-03	DKA	172	151	14	7	0
2012-03-30	VVK	77	68	7	2	0
2012-05-04	AVR	246	221	13	11	1
2012-06-01	PC2	156	149	2	3	2
2012-07-13	M13	250	241	6	2	1
2012-08-31	V12	15	13	1	0	1
2012-09-07	IVG	90	80	9	1	0
2012-10-05	RTR	274	258	10	5	1
2012-11-02	CM1	18	12	3	3	0
2013-01-01	PDP13	3	3	0	0	0
2013-01-01	PI13	5	4	0	1	0
2013-02-01	GTC	249	215	18	16	0
2013-03-15	SVT	80	76	4	0	0
2013-05-03	DGM	160	128	26	6	0
2013-06-07	MMA	229	201	16	8	4
2013-07-19	M14	250	236	12	1	1
2013-08-23	V13	20	17	3	0	0
2013-09-06	HVM	81	77	4	0	0
2013-09-27	THS	249	226	22	1	0
2013-11-01	C13	356	294	42	18	2
2014-01-01	PDP14	2	2	0	0	0
2014-01-01	PI14	3	3	0	0	0
2014-02-07	BNG	167	144	17	6	0
2014-03-14	JVV	88	84	4	0	0
2014-05-02	JOU	165	128	32	5	0
2014-05-30	MD1	26	25	1	0	0
2014-06-06	CNS	224	158	29	29	8
2014-06-16	VMA	325	292	21	11	1
2014-07-18	M15	287	264	16	6	1
2014-08-22	V14	15	13	2	0	0
2014-09-05	DDN	85	75	3	3	4
2014-09-26	KTK	269	237	21	11	0
2014-11-07	C14	342	291	37	13	1
2014-12-05	EVG	62	61	1	0	0
2014-12-05	JVC	62	53	5	4	0
2015-01-17	UGIN	26	19	5	2	0
2015-01-23	FRF	185	158	13	14	0
2015-02-27	EVK	65	64	1	0	0
2015-03-27	DTK	264	227	24	13	0
2015-05-06	TPR	269	242	15	12	0
2015-05-22	MM2	249	235	11	2	1
2015-07-17	ORI	293	258	26	9	0
2015-08-21	V15	15	13	2	0	0
2015-08-28	ZVE	77	70	4	0	3
2015-10-02	BFZ	299	285	13	1	0
2015-10-02	EXP	45	45	0	0	0
2015-11-13	C15	344	287	46	10	1
2015-11-18	PZ1	165	102	44	8	11
2016-01-22	OGW	186	171	11	3	1
2016-02-26	BVC	76	76	0	0	0
2016-04-08	SOI	330	311	13	6	0
2016-04-08	W16	16	14	2	0	0
2016-06-10	EMA	249	232	14	3	0
2016-07-22	EMN	224	189	26	7	2
2016-08-19	V16	16	12	3	0	1
2016-08-26	CN2	222	131	64	27	0
2016-09-02	DDR	76	67	4	0	5
2016-09-03	MPS	54	44	7	3	0
2016-09-30	KLD	274	247	19	7	1
2016-11-11	C16	351	275	57	15	4
2016-11-16	PZ2	315	81	191	14	29
2016-11-25	PCA	156	149	2	3	2
2017-01-20	AER	194	173	16	5	0
2017-03-17	MM3	249	229	15	4	1
2017-03-31	DDS	65	59	5	1	0
2017-04-15	W17	30	30	0	0	0
2017-04-28	AKH	287	50	235	2	0
2017-04-28	MP2	54	34	13	4	3
2017-06-06	CMA	320	279	35	6	0
2017-06-16	E01	106	98	4	4	0
2017-07-14	HOU	209	27	181	1	0
2017-08-25	C17	309	213	87	9	0
2017-09-20	H17	5	1	3	1	0
2017-09-20	HTR	4	1	1	1	1
2017-09-29	XLN	300	49	250	0	1
2017-10-24	DDT	63	60	2	1	0
2017-11-17	IMA	257	236	13	1	7
2017-11-24	E02	47	45	2	0	0
2017-11-24	V17	29	22	7	0	0
2017-12-08	UST	268	6	68	193	1
2018-01-19	RIX	214	26	187	0	1
2018-03-16	A25	249	219	20	8	2
2018-04-06	DDU	76	74	1	1	0
2018-04-27	DOM	280	54	221	2	3
2018-06-08	BBD	256	151	96	7	2
2018-06-08	CM2	313	264	36	12	1
2018-06-15	SS1	8	7	0	1	0
2018-06-22	GS1	40	12	28	0	0
2018-07-13	M19	315	122	189	4	0
2018-07-14	ANA	51	23	26	0	2
2018-08-01	HTR17	3	1	2	0	0
2018-08-09	C18	308	231	65	11	1
2018-10-05	GRN	273	40	231	2	0
2018-10-05	MED	24	24	0	0	0
2018-11-02	GK1	127	107	15	5	0
2018-11-16	GNT	68	41	27	0	0
2018-12-07	PUMA	40	34	2	4	0
2018-12-07	UMA	254	227	19	8	0
2019-01-25	RNA	273	32	239	2	0
2019-02-15	GK2	133	119	10	4	0
2019-05-03	WAR	275	64	210	1	0
2019-06-14	MH1	256	43	206	7	0
2019-06-28	SS2	8	6	2	0	0
2019-07-12	M20	344	141	198	5	0
2019-08-01	HTR18	6	0	4	0	2
2019-08-23	C19	302	194	84	24	0
2019-10-04	ELD	329	39	270	1	19
2019-11-07	MB1	1801	1282	417	26	76
2019-11-15	GN2	70	34	32	0	4
2019-11-21	HA1	22	20	1	0	1
2019-12-02	SLD	131	99	23	3	6
2020-01-24	THB	307	41	242	4	20
2020-02-29	UND	101	12	28	58	3
2020-03-12	HA2	28	25	1	0	2
2020-04-17	C20	353	183	145	10	15
2020-04-24	IKO	305	41	244	10	10
2020-05-21	HA3	31	24	3	0	4
2020-06-26	SS3	9	7	2	0	0
2020-07-03	JMP	535	333	173	0	29
2020-07-03	M21	415	122	275	6	12
2020-08-01	HTR19	7	0	7	0	0
2020-08-07	2XM	424	320	65	6	33
2020-08-13	AKR	339	64	270	4	1
2020-08-13	ANB	121	50	67	0	4
2020-09-25	ZNC	153	97	47	2	7
2020-09-25	ZNE	30	23	7	0	0
2020-09-25	ZNR	454	35	409	0	10
2020-09-26	PLIST	336	221	67	19	29
2020-11-12	KLR	331	275	21	6	29
2020-11-20	CMR	759	291	412	23	33
2020-12-04	CC1	9	5	3	0	1
2021-02-05	KHC	138	74	55	0	9
2021-02-05	KHM	478	29	426	3	20
2021-03-11	HA4	30	13	13	1	3
2021-03-19	TSR	443	338	74	11	20
2021-04-23	C21	409	172	217	16	4
2021-04-23	STA	63	39	22	1	1
2021-04-23	STX	414	21	391	0	2
2021-05-27	HA5	26	19	4	2	1
2021-06-18	H1R	43	1	42	0	0
2021-06-18	MH2	524	84	417	5	18
2021-06-22	PLG21	6	3	3	0	0
2021-07-23	AFC	293	142	138	0	13
2021-07-23	AFR	429	39	376	0	14
2021-08-26	J21	446	148	261	2	35
2021-09-24	MIC	226	86	108	1	31
2021-09-24	MID	467	41	403	1	22
2021-10-15	Q06	10	4	5	1	0
2021-11-19	VOC	214	76	115	3	20
2021-11-19	VOW	543	42	476	0	25
2021-12-09	YMID	64	2	61	0	1
2021-12-31	CC2	12	7	3	0	2
2022-01-28	DBL	728	37	645	1	45
2022-02-18	NEC	205	73	108	2	22
2022-02-18	NEO	615	72	487	9	47
2022-04-29	NCC	372	157	109	7	99
2022-04-29	SNC	458	26	219	0	213
2022-06-10	CLB	933	209	644	35	45
2022-07-08	2X2	579	398	153	25	3
2022-09-09	DMC	220	98	86	1	35
2022-09-09	DMU	434	47	289	0	98
2022-11-18	BRC	226	95	109	7	15
2022-11-18	BRO	430	53	345	0	32
2022-11-18	BRR	132	88	32	6	6
2022-12-02	J22	961	420	456	10	75
2023-01-13	DMR	481	402	56	6	17
2023-02-03	ONC	224	77	106	3	38
2023-02-03	ONE	447	62	335	10	40
2023-03-21	SIR	368	290	25	8	45
2023-03-21	SIS	91	72	3	3	13
2023-04-21	MOC	553	159	231	91	72
2023-04-21	MOM	471	47	412	1	11
2023-04-21	MUL	65	14	43	8	0
2023-05-12	MAT	232	0	215	10	7
2023-06-23	LTC	579	161	313	27	78
2023-06-23	LTR	748	21	711	6	10
2023-08-04	CMM	1202	513	559	44	86
2023-09-08	WOC	158	60	66	4	28
2023-09-08	WOE	381	23	146	0	212
2023-09-08	WOT	83	60	21	2	0
2023-11-17	LCC	376	102	189	3	82
2023-11-17	LCI	463	16	241	0	206
2023-11-17	REX	33	10	9	0	14
2023-11-17	SPG	68	28	38	2	0
2024-01-12	RVR	467	292	167	8	0
2024-02-09	MKC	354	123	140	12	79
2024-02-09	MKM	432	22	237	0	173
2024-02-23	CLU	283	124	144	3	12
2024-04-19	BIG	90	6	33	0	51
2024-04-19	OTC	342	122	160	6	54
2024-04-19	OTJ	374	27	162	0	185
2024-04-19	OTP	80	24	48	4	4
2024-06-14	M3C	379	160	154	1	64
2024-06-14	MH3	521	78	281	2	160
2024-08-02	BLB	397	42	260	0	95
2024-08-02	BLC	356	143	190	3	20
2024-09-27	DSC	373	146	138	13	76
2024-09-27	DSK	417	26	258	0	133
2024-11-15	FDN	725	238	439	2	46
2024-11-15	J25	779	276	467	4	32
2025-01-24	INR	567	382	170	13	2
2025-02-14	DFT	547	55	234	0	258
2025-02-14	DRC	184	72	82	2	28
2025-04-11	TDC	410	166	196	3	45
2025-04-11	TDM	422	47	306	0	69
2025-06-13	FIN	318	141	1	0	176
2025-08-01	EOE	267	202	2	0	63
2025-09-26	SPM	195	106	5	0	84
2025-11-21	TLA	290	51	2	0	237
2026-01-23	ECL	274	274	0	0	0
2026-03-01	TMT	200	18	3	0	179
2026-04-24	SOS	49	49	0	0	0
