year	set	true_est	done_sup	partial_bl	excluded_unsup	todo_unwritten	todo_unregistered
2016-09-02	DDR	76	67	4	0	5	0
2016-09-03	MPS	57	44	7	3	0	3
2016-09-30	KLD	281	247	19	7	1	7
2016-11-11	C16	366	275	57	15	4	15
2016-11-16	PZ2	329	81	191	14	29	14
2016-11-25	PCA	159	149	2	3	2	3
2017-01-20	AER	199	173	16	5	0	5
2017-03-17	MM3	253	229	15	4	1	4
2017-03-31	DDS	66	59	5	1	0	1
2017-04-15	W17	30	30	0	0	0	0
2017-04-28	AKH	289	50	235	2	0	2
2017-04-28	MP2	58	34	13	4	3	4
2017-06-06	CMA	327	279	35	6	0	7
2017-06-16	E01	110	98	4	4	0	4
2017-07-14	HOU	210	27	181	1	0	1
2017-08-25	C17	319	213	87	9	0	10
2017-09-20	H17	6	1	3	1	0	1
2017-09-20	HTR	5	1	1	1	1	1
2017-09-29	XLN	300	49	250	0	1	0
2017-10-24	DDT	64	60	2	1	0	1
2017-11-17	IMA	258	236	13	1	7	1
2017-11-24	E02	47	45	2	0	0	0
2017-11-24	V17	29	22	7	0	0	0
2017-12-08	UST	462	6	68	193	1	194
2018-01-19	RIX	214	26	187	0	1	0
2018-03-16	A25	257	219	20	8	2	8
2018-04-06	DDU	77	74	1	1	0	1
2018-04-27	DOM	282	54	221	2	3	2
2018-06-08	BBD	264	151	96	7	2	8
2018-06-08	CM2	326	264	36	12	1	13
2018-06-15	SS1	9	7	0	1	0	1
2018-06-22	GS1	40	12	28	0	0	0
2018-07-13	M19	319	122	189	4	0	4
2018-07-14	ANA	51	23	26	0	2	0
2018-08-01	HTR17	3	1	2	0	0	0
2018-08-09	C18	319	231	65	11	1	11
2018-10-05	GRN	275	40	231	2	0	2
2018-10-05	MED	24	24	0	0	0	0
2018-11-02	GK1	132	107	15	5	0	5
2018-11-16	GNT	68	41	27	0	0	0
2018-12-07	PUMA	44	34	2	4	0	4
2018-12-07	UMA	262	227	19	8	0	8
2019-01-25	RNA	275	32	239	2	0	2
2019-02-15	GK2	137	119	10	4	0	4
2019-05-03	WAR	276	64	210	1	0	1
2019-06-14	MH1	263	43	206	7	0	7
2019-06-28	SS2	8	6	2	0	0	0
2019-07-12	M20	349	141	198	5	0	5
2019-08-01	HTR18	6	0	4	0	2	0
2019-08-23	C19	329	194	84	24	0	27
2019-10-04	ELD	330	39	270	1	19	1
2019-11-07	MB1	1826	1282	417	26	76	25
2019-11-15	GN2	70	34	32	0	4	0
2019-11-21	HA1	22	20	1	0	1	0
2019-12-02	SLD	131	99	23	3	6	0
2020-01-24	THB	311	41	242	4	20	4
2020-02-29	UND	159	12	28	58	3	58
2020-03-12	HA2	28	25	1	0	2	0
2020-04-17	C20	364	183	145	10	15	11
2020-04-24	IKO	314	41	244	10	10	9
2020-05-21	HA3	31	24	3	0	4	0
2020-06-26	SS3	9	7	2	0	0	0
2020-07-03	JMP	535	333	173	0	29	0
2020-07-03	M21	421	122	275	6	12	6
2020-08-01	HTR19	7	0	7	0	0	0
2020-08-07	2XM	429	320	65	6	33	5
2020-08-13	AKR	343	64	270	4	1	4
2020-08-13	ANB	121	50	67	0	4	0
2020-09-25	ZNC	155	97	47	2	7	2
2020-09-25	ZNE	30	23	7	0	0	0
2020-09-25	ZNR	454	35	409	0	10	0
2020-09-26	PLIST	356	221	67	19	29	20
2020-11-12	KLR	337	275	21	6	29	6
2020-11-20	CMR	774	291	412	23	33	15
2020-12-04	CC1	9	5	3	0	1	0
2021-02-05	KHC	138	74	55	0	9	0
2021-02-05	KHM	479	29	426	3	20	1
2021-03-11	HA4	31	13	13	1	3	1
2021-03-19	TSR	455	338	74	11	20	12
2021-04-23	C21	422	172	217	16	4	13
2021-04-23	STA	64	39	22	1	1	1
2021-04-23	STX	414	21	391	0	2	0
2021-05-27	HA5	28	19	4	2	1	2
2021-06-18	H1R	43	1	42	0	0	0
2021-06-18	MH2	529	84	417	5	18	5
2021-06-22	PLG21	6	3	3	0	0	0
2021-07-23	AFC	293	142	138	0	13	0
2021-07-23	AFR	429	39	376	0	14	0
2021-08-26	J21	446	148	261	2	35	0
2021-09-24	MIC	227	86	108	1	31	1
2021-09-24	MID	468	41	403	1	22	1
2021-10-15	Q06	11	4	5	1	0	1
2021-11-19	VOC	217	76	115	3	20	3
2021-11-19	VOW	543	42	476	0	25	0
2021-12-09	YMID	64	2	61	0	1	0
2021-12-31	CC2	12	7	3	0	2	0
2022-01-28	DBL	729	37	645	1	45	1
2022-02-18	NEC	207	73	108	2	22	2
2022-02-18	NEO	621	72	487	9	47	6
2022-04-29	NCC	380	157	109	7	99	8
2022-04-29	SNC	458	26	219	0	213	0
2022-06-10	CLB	965	209	644	35	45	32
2022-07-08	2X2	604	398	153	25	3	25
2022-09-09	DMC	221	98	86	1	35	1
2022-09-09	DMU	434	47	289	0	98	0
2022-11-18	BRC	233	95	109	7	15	7
2022-11-18	BRO	430	53	345	0	32	0
2022-11-18	BRR	138	88	32	6	6	6
2022-12-02	J22	971	420	456	10	75	10
2023-01-13	DMR	487	402	56	6	17	6
2023-02-03	ONC	227	77	106	3	38	3
2023-02-03	ONE	457	62	335	10	40	10
2023-03-21	SIR	376	290	25	8	45	8
2023-03-21	SIS	94	72	3	3	13	3
2023-04-21	MOC	646	159	231	91	72	93
2023-04-21	MOM	472	47	412	1	11	1
2023-04-21	MUL	73	14	43	8	0	8
2023-05-12	MAT	234	0	215	10	7	2
2023-06-23	LTC	599	161	313	27	78	20
2023-06-23	LTR	752	21	711	6	10	4
2023-08-04	CMM	1249	513	559	44	86	47
2023-09-08	WOC	158	60	66	4	28	0
2023-09-08	WOE	381	23	146	0	212	0
2023-09-08	WOT	83	60	21	2	0	0
2023-11-17	LCC	376	102	189	3	82	0
2023-11-17	LCI	463	16	241	0	206	0
2023-11-17	REX	33	10	9	0	14	0
2023-11-17	SPG	68	28	38	2	0	0
2024-01-12	RVR	467	292	167	8	0	0
2024-02-09	MKC	354	123	140	12	79	0
2024-02-09	MKM	432	22	237	0	173	0
2024-02-23	CLU	283	124	144	3	12	0
2024-04-19	BIG	90	6	33	0	51	0
2024-04-19	OTC	342	122	160	6	54	0
2024-04-19	OTJ	374	27	162	0	185	0
2024-04-19	OTP	80	24	48	4	4	0
2024-06-14	M3C	379	160	154	1	64	0
2024-06-14	MH3	521	78	281	2	160	0
2024-08-02	BLB	397	42	260	0	95	0
2024-08-02	BLC	356	143	190	3	20	0
2024-09-27	DSC	373	146	138	13	76	0
2024-09-27	DSK	417	26	258	0	133	0
2024-11-15	FDN	725	238	439	2	46	0
2024-11-15	J25	779	276	467	4	32	0
2025-01-24	INR	567	382	170	13	2	0
2025-02-14	DFT	547	55	234	0	258	0
2025-02-14	DRC	184	72	82	2	28	0
2025-04-11	TDC	410	166	196	3	45	0
2025-04-11	TDM	422	47	306	0	69	0
2025-06-13	FIN	318	141	1	0	176	0
2025-08-01	EOE	267	202	2	0	63	0
2025-09-26	SPM	195	106	5	0	84	0
2025-11-21	TLA	290	51	2	0	237	0
2026-01-23	ECL	274	274	0	0	0	0
2026-03-01	TMT	200	18	3	0	179	0
2026-04-24	SOS	49	49	0	0	0	0
