name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Bender's Waterskin,missing,Easy,Artifact,{3},3.0,common,tla,2025-11-21,,"Untap this artifact during each other player's untap step.
{T}: Add one mana of any color.",
Bison Whistle,missing,Easy,Artifact,{1}{G},2.0,rare,tle,2025-11-21,,"{1}, {T}: Look at the top card of your library. If it's a Bison card, you may put it onto the battlefield. If it's a creature card, you may reveal it and put it into your hand. Otherwise, you may put it into your graveyard.",
Black Tulip,missing,Easy,Artifact,{0},0.0,uncommon,unk,2024-06-29,,"{T}, Exile Black Tulip: Add three mana of any one color. You can't activate this ability until you've begun your sixth turn of the game. (Keep track if this is in your deck!)",
Blitzball,missing,Easy,Artifact,{3},3.0,common,fin,2025-06-13,GOOOOAAAALLL!,"{T}: Add one mana of any color.
GOOOOAAAALLL! — {T}, Sacrifice this artifact: Draw two cards. Activate only if an opponent was dealt combat damage by a legendary creature this turn.",
Boom Box,missing,Easy,Artifact,{2},2.0,uncommon,otj,2024-04-19,,"{6}, {T}, Sacrifice this artifact: Destroy up to one target artifact, up to one target creature, and up to one target land.",
Boxing Ring,missing,Easy,Artifact,{1}{G},2.0,rare,ncc,2022-04-29,"Treasure, Fight","Whenever a creature you control enters, it fights up to one target creature you don't control with the same mana value.
{T}: Create a Treasure token. Activate only if you control a creature that fought this turn.",
Brass Infiniscope,missing,Easy,Artifact,{4},4.0,rare,soc,2026-04-24,,"{T}: Add {C}{C}. When you next cast a spell with {X} in its mana cost this turn, you draw a card and gain half X life, rounded down.",
Cat Oven,missing,Easy,Artifact,{1},1.0,uncommon,unk,2023-09-23,Food,"When Cat Oven enters the battlefield, create a Food token.
{T}, Sacrifice a Food: Create a 1/1 black Cat creature token. Each opponent loses 1 life and you gain 1 life.",
Cauldron of Essence,missing,Easy,Artifact,{1}{B}{G},3.0,rare,psos,2026-04-24,,"Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.
{1}{B}{G}, {T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",
Celestial Vault,missing,Easy,Artifact,{1}{W},2.0,uncommon,ysnc,2022-06-02,,"{W}, {T}: Draft a card from Celestial Vault's spellbook and exile it face down.
{1}, Sacrifice Celestial Vault: Put each card exiled with Celestial Vault into your hand.",
Coin of Fate,missing,Easy,Artifact,{1}{W},2.0,rare,fic,2025-06-13,Surveil,"When this artifact enters, surveil 1.
{3}{W}, {T}, Exile two creature cards from your graveyard, Sacrifice this artifact: An opponent chooses one of the exiled cards. You put that card on the bottom of your library and return the other to the battlefield tapped. You become the monarch.",
Convergence of Dominion,missing,Easy,Artifact,{3},3.0,rare,40k,2022-10-07,"Dynastic Command Node, Translocation Protocols, Mill","Dynastic Command Node — As long as you control your commander, activated abilities of cards in your graveyard cost {2} less to activate. This effect can't reduce the mana in that ability's activation cost to less than one mana.
Translocation Protocols — {3}, {T}: Mill three cards.",
Currency Converter,missing,Easy,Artifact,{1},1.0,rare,ncc,2022-04-29,Treasure,"Whenever you discard a card, you may exile that card from your graveyard.
{2}, {T}: Draw a card, then discard a card.
{T}: Put a card exiled with this artifact into its owner's graveyard. If it's a land card, create a Treasure token. If it's a nonland card, create a 2/2 black Rogue creature token.",
Dragonweave Tapestry,missing,Easy,Artifact,{4},4.0,rare,ytdm,2025-04-29,Conjure,"When this artifact enters, conjure Dragonweave Tapestry's spellbook into your library twice, then shuffle.
Whenever you cast a Dragon or Omen spell, draw a card.
{T}: Add one mana of any color.",
Drix Interlacer,missing,Easy,Artifact,{1},1.0,rare,yeoe,2025-08-19,Intensity,"Starting intensity 0
Whenever another artifact you control enters, this artifact intensifies by 1.
{T}, Sacrifice this artifact: Draw X cards, where X is half this artifact's intensity, rounded down. Activate only as a sorcery.",
Elixir,missing,Easy,Artifact,{1},1.0,uncommon,fin,2025-06-13,,"This artifact enters tapped.
{5}, {T}, Exile this artifact: Shuffle all nonland cards from your graveyard into your library. You gain life equal to the number of cards shuffled into your library this way.",
Ether,missing,Easy,Artifact,{3}{U},4.0,uncommon,fin,2025-06-13,,"{T}, Exile this artifact: Add {U}. When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",
Eumidian Lifeseed,missing,Easy,Artifact,{G},1.0,uncommon,yeoe,2025-08-19,,"When this artifact enters, draft a card from Eumidian Lifeseed's spellbook.
{T}: Add one mana of any color. Spend this mana only to activate abilities of land sources.",
Evolving Door,missing,Easy,Artifact,{2}{G},3.0,rare,snc,2022-04-29,,"{1}, {T}, Sacrifice a creature: Count the colors of the sacrificed creature, then search your library for a creature card that's exactly that many colors plus one. Exile that card, then shuffle. You may cast the exiled card. Activate only as a sorcery.",
Expert-Level Safe,missing,Easy,Artifact,{2},2.0,uncommon,pip,2024-03-08,,"When this artifact enters, exile the top two cards of your library face down.
{1}, {T}: You and target opponent each secretly choose 1, 2, or 3. Then those choices are revealed. If they match, sacrifice this artifact and put all cards exiled with it into their owners' hands. Otherwise, exile the top card of your library face down.",
Fabrication Foundry,missing,Easy,Artifact,{1}{W},2.0,rare,lci,2023-11-17,,"{T}: Add {W}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.
{2}{W}, {T}, Exile one or more other artifacts you control with total mana value X: Return target artifact card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.",
Forger's Foundry,missing,Easy,Artifact,{2}{U},3.0,rare,otc,2024-04-19,,"{T}: Add {U}. When you spend this mana to cast an instant or sorcery spell with mana value 3 or less, you may exile that spell instead of putting it into its owner's graveyard as it resolves.
{3}{U}{U}, {T}: You may cast any number of spells from among cards exiled with this artifact without paying their mana costs. Activate only as a sorcery.",
Guidelight Matrix,missing,Easy,Artifact,{2},2.0,common,dft,2025-02-14,,"When this artifact enters, draw a card.
{2}, {T}: Target Mount you control becomes saddled until end of turn. Activate only as a sorcery.
{2}, {T}: Target Vehicle you control becomes an artifact creature until end of turn.",
Guilded Lotus,missing,Easy,Artifact,{5},5.0,uncommon,unk,2024-02-24,,"Pledge (Join a two-colored guild if you haven't already this game.)
{T}: Add three mana in any combination of your guild's colors",
Guildmark,missing,Easy,Artifact,{2},2.0,rare,unk,2023-05-06,,"Pledge (Join a two-colored guild if you haven't already this game.)
{T}: Add one mana of your guild's colors.",
Haystack,missing,Easy,Artifact,{1}{W},2.0,uncommon,acr,2024-07-05,,"{2}, {T}: Target creature you control phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)",
Hemlock Vial,missing,Easy,Artifact,{1}{B},2.0,uncommon,acr,2024-07-05,,"When this artifact enters, you draw a card and you lose 1 life.
{B}, {T}, Sacrifice this artifact: Each equipped creature and Equipment you control gains deathtouch until end of turn.",
Herd Heirloom,missing,Easy,Artifact,{1}{G},2.0,rare,ptdm,2025-04-11,,"{T}: Add one mana of any color. Spend this mana only to cast a creature spell.
{T}: Until end of turn, target creature you control with power 4 or greater gains trample and ""Whenever this creature deals combat damage to a player, draw a card.""",
Inscribed Tablet,missing,Easy,Artifact,{1},1.0,uncommon,dmu,2022-09-09,,"{1}, {T}, Sacrifice this artifact: Reveal the top five cards of your library. Put a land card from among them into your hand and the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, draw a card.",
Interdimensional Web Watch,missing,Easy,Artifact,{4},4.0,rare,om1,2025-09-23,,"When this artifact enters, exile the top two cards of your library. Until the end of your next turn, you may play those cards.
{T}: Add two mana in any combination of colors. Spend this mana only to cast spells from exile.",
Item Crate,missing,Easy,Artifact,{2},2.0,common,unk,2025-02-21,,"{1}, {T}, Sacrifice this artifact: Create a tapped colorless token at random with the listed name and ability.
• Banana with ""{T}, Sacrifice this token: Add {R} or {G}. You gain 2 life.""
• Shell with ""{T}, Sacrifice this token: It deals 2 damage to any target.""
• Star with ""{T}, Sacrifice this token: Target creature gains deathtouch and indestructible until end of turn.""
• Best Shell with ""{T}, Sacrifice this token: Destroy target creature with the greatest power.""",
Lantern of Undersight,missing,Easy,Artifact,{1},1.0,rare,cmb1,2019-11-07,,You draw cards from the bottom of your library instead of the top of your library.,
Laser Screwdriver,missing,Easy,Artifact,{3},3.0,uncommon,who,2023-10-13,"Surveil, Goad","{T}: Add one mana of any color.
{1}, {T}: Tap target artifact.
{2}, {T}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
{3}, {T}: Goad target creature. (Until your next turn, it attacks each combat if able and attacks a player other than you if able.)",
Leyline Dowser,missing,Easy,Artifact,{2},2.0,rare,otc,2024-04-19,Mill,"{1}, {T}: Mill a card. You may put an instant or sorcery card milled this way into your hand.
Tap an untapped legendary creature you control: Untap this artifact.",
Manhole Cover,missing,Easy,Artifact,{2},2.0,uncommon,tmc,2026-03-06,Flash,"Flash (You may cast this spell any time you could cast an instant.)
When this artifact enters, target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
{2}, Sacrifice this artifact: Target player draws a card.",
Massacre Totem,missing,Easy,Artifact,,0.0,common,tbth,2014-03-01,Hero's Reward,"At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.
Hero's Reward — When Massacre Totem is put into a graveyard from anywhere, put the top seven cards of the Horde's library into its graveyard.",
Memorial Vault,missing,Easy,Artifact,{3}{R},4.0,rare,peoe,2025-08-01,,"{T}, Sacrifice another artifact: Exile the top X cards of your library, where X is one plus the mana value of the sacrificed artifact. You may play those cards this turn.",
Memory Vessel,missing,Easy,Artifact,{3}{R}{R},5.0,mythic,big,2024-04-19,,"{T}, Exile this artifact: Each player exiles the top seven cards of their library. Until your next turn, players may play cards they exiled this way, and they can't play cards from their hand. Activate only as a sorcery.",
Microscope,missing,Easy,Artifact,{2},2.0,rare,mb2,2024-08-02,Surveil,"{T}: Surveil 1.
{T}: Target permanent card in a graveyard becomes a 0/0 black Germ creature in addition to its other colors and types until end of turn. (This effect ends if it leaves the graveyard.)",
Mindslaver Toolkit,missing,Easy,Artifact,{0},0.0,rare,unk,2023-02-17,,"{T}: Target opponent gains control of Mindslaver Toolkit.
{X}, {T}: Choose any number —
• You lose X life.
• You discard X cards.
• You sacrifice X permanents.",
Misleading Signpost,missing,Easy,Artifact,{2}{U},3.0,rare,woc,2023-09-08,Flash,"Flash
When this artifact enters during the declare attackers step, you may reselect which player or permanent target attacking creature is attacking. (It can't attack its controller or their permanents.)
{T}: Add {U}.",
Mouser Foundry,missing,Easy,Artifact,{1}{R},2.0,common,tmt,2026-03-06,,"When this artifact enters or leaves the battlefield, create a 1/1 colorless Robot artifact creature token.
{4}{R}, Sacrifice this artifact: It deals 3 damage to target creature.",
Mox Poison,missing,Easy,Artifact,{0},0.0,rare,unk,2023-02-17,,{T}: Add one mana of any color. You get two poison counters.,
Nuka-Cola Vending Machine,missing,Easy,Artifact,{3},3.0,uncommon,pip,2024-03-08,"Treasure, Food","{1}, {T}: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you sacrifice a Food, create a tapped Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",
Obsidian Obelisk,missing,Easy,Artifact,{2},2.0,rare,dmc,2022-09-09,,"This artifact enters tapped.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a multicolored spell.",
Panoptic Projektor,missing,Easy,Artifact,{4},4.0,rare,mkc,2024-02-09,,"{T}: The next face-down creature spell you cast this turn costs {3} less to cast.
If turning a face-down permanent face up causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",
Park Map,missing,Easy,Artifact,{1},1.0,common,unf,2022-10-07,,"{1}, Sacrifice this artifact: Search your library for a land card that doesn't have the same art as a permanent you control, reveal it, put it into your hand, then shuffle.",
Phyrexian Incubator,missing,Easy,Artifact,{5},5.0,rare,unk,2023-05-06,Incubate,"{3}, {T}, Sacrifice Phyrexian Incubator: Search your library for any number of Phyrexian cards or cards with phyrexian back faces, exile them, then incubate 2 that many times. Then shuffle.",
Pictures of Spider-Man,missing,Easy,Artifact,{2}{G},3.0,uncommon,om1,2025-09-23,Treasure,"When this artifact enters, look at the top five cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.
{1}, {T}, Sacrifice this artifact: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",
Pithing Spyglass,missing,Easy,Artifact,{2},2.0,rare,cmb1,2019-11-07,,"As Pithing Spyglass enters, name a keyword ability or ability word.
All cards in all zones lose that keyword ability or ability word and all text tied to that ability.",
Plundered Statue,missing,Easy,Artifact,,0.0,common,tbth,2014-03-01,Hero's Reward,"At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.
Hero's Reward — When Plundered Statue is put into a graveyard from anywhere, each player draws a card.",
Polygraph Orb,missing,Easy,Artifact,{4}{B},5.0,uncommon,mkm,2024-02-09,Collect evidence,"When this artifact enters, look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.
{2}, {T}, Collect evidence 3: Each opponent loses 3 life unless they discard a card or sacrifice a creature. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)",
Potioner's Trove,missing,Easy,Artifact,{3},3.0,common,sos,2026-04-24,,"{T}: Add one mana of any color.
{T}: You gain 2 life. Activate only if you've cast an instant or sorcery spell this turn.",
Racers' Scoreboard,missing,Easy,Artifact,{4},4.0,uncommon,dft,2025-02-14,"Max speed, Start your engines!","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, draw two cards, then discard a card.
Max speed — Spells you cast cost {1} less to cast.",
Refreshing Elixir,missing,Easy,Artifact,,0.0,common,tbth,2014-03-01,Hero's Reward,"At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.
Hero's Reward — When Refreshing Elixir is put into a graveyard from anywhere, each player gains 5 life.",
Repurposing Bay,missing,Easy,Artifact,{2}{U},3.0,rare,dft,2025-02-14,,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",
Requiem Monolith,missing,Easy,Artifact,{2}{B},3.0,rare,peoe,2025-08-01,,"{T}: Until end of turn, target creature gains ""Whenever this creature is dealt damage, you draw that many cards and lose that much life."" That creature's controller may have this artifact deal 1 damage to it. Activate only as a sorcery.",
Resonating Lute,missing,Easy,Artifact,{2}{U}{R},4.0,rare,sos,2026-04-24,,"Lands you control have ""{T}: Add two mana of any one color. Spend this mana only to cast instant and sorcery spells.""
{T}: Draw a card. Activate only if you have seven or more cards in your hand.",
Riverchurn Monument,missing,Easy,Artifact,{1}{U},2.0,rare,dft,2025-02-14,"Exhaust, Mill","{1}, {T}: Any number of target players each mill two cards. (Each of them puts the top two cards of their library into their graveyard.)
Exhaust — {2}{U}{U}, {T}: Any number of target players each mill cards equal to the number of cards in their graveyard. (Activate each exhaust ability only once.)",
Sewer-veillance Cam,missing,Easy,Artifact,{U},1.0,common,tmt,2026-03-06,Flash,"Flash
When this artifact enters or leaves the battlefield, you may tap or untap target creature.
{3}{U}, Sacrifice this artifact: Draw two cards.",
Sharp Eraser,missing,Easy,Artifact,{6},6.0,rare,unk,2024-10-25,,"{2}, {T}: Reveal cards from the top of your library until you reveal a nonland card. You may erase any number of words on the card, including flavor text, as long as the card still makes sense. Then cast the revised card without paying its mana cost. Put all other cards revealed this way on the bottom of your library in a random order.",
Smoke Bomb,missing,Easy,Artifact,{3},3.0,uncommon,acr,2024-07-05,Flash,"Flash
All creatures have shroud. (They can't be the targets of spells or abilities.)
At the beginning of your upkeep, sacrifice this artifact. When you do, target creature you control can't be blocked this turn.",
Sonic Screwdriver,missing,Easy,Artifact,{3},3.0,uncommon,who,2023-10-13,Scry,"{T}: Add one mana of any color.
{1}, {T}: Untap another target artifact.
{2}, {T}: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{3}, {T}: Target creature can't be blocked this turn.",
Spawning Pod,missing,Easy,Artifact,{2}{G},3.0,rare,yone,2023-02-28,Seek,"{1}, {T}, Sacrifice a creature: Seek a creature card with mana value equal to 1 plus the sacrificed creature's mana value and put that card onto the battlefield. That creature is a Phyrexian in addition to its other types. Activate only as a sorcery.",
Starting Column,missing,Easy,Artifact,{3},3.0,common,dft,2025-02-14,"Max speed, Start your engines!","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{T}: Add one mana of any color.
Max speed — {T}, Sacrifice this artifact: Draw two cards, then discard a card.",
Symmetry Matrix,missing,Easy,Artifact,{4},4.0,uncommon,bro,2022-11-18,,"Whenever a creature you control with power equal to its toughness enters, you may pay {1}. If you do, draw a card.",
Tablet of Discovery,missing,Easy,Artifact,{2}{R},3.0,uncommon,sos,2026-04-24,Mill,"When this artifact enters, mill a card. You may play that card this turn. (To mill a card, put the top card of your library into your graveyard.)
{T}: Add {R}.
{T}: Add {R}{R}. Spend this mana only to cast instant and sorcery spells.",
Territory Forge,missing,Easy,Artifact,{4}{R},5.0,mythic,big,2024-04-19,,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",
Ticket Turbotubes,missing,Easy,Artifact,{3},3.0,common,unf,2022-10-07,,"{T}: Add one mana of any color.
{3}, {T}: You get {TK} (a ticket counter).",
Torpor Orb,missing,Easy,Artifact,{2},2.0,rare,nph,2011-05-13,,Creatures entering don't cause abilities to trigger.,
Trampled Lotus,missing,Easy,Artifact,{2},2.0,rare,unk,2023-09-23,,"{T}, Sacrifice Trampled Lotus: Tap up to three lands your opponents control for mana. This ability has splitter second. (It can't be responded to. By, like, anything.)",
Transmutation Font,missing,Easy,Artifact,{5},5.0,mythic,pw24,2024-04-12,Food,"{T}: Create your choice of a Blood token, a Clue token, or a Food token.
{3}, {T}, Sacrifice three artifact tokens with different names: Search your library for an artifact card, put it onto the battlefield, then shuffle. Activate only as a sorcery.",
Unstable Amulet,missing,Easy,Artifact,{1}{R},2.0,uncommon,mh3,2024-06-14,,"When this artifact enters, you get {E}{E} (two energy counters).
Whenever you cast a spell from anywhere other than your hand, this artifact deals 1 damage to each opponent.
{T}, Pay {E}{E}: Exile the top card of your library. You may play it until you exile another card with this artifact.",
Vitality Salve,missing,Easy,Artifact,,0.0,common,tbth,2014-03-01,Hero's Reward,"At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.
Hero's Reward — When Vitality Salve is put into a graveyard from anywhere, each player returns a creature card from their graveyard to the battlefield.",
White Auracite,missing,Easy,Artifact,{2}{W}{W},4.0,common,fin,2025-06-13,,"When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
{T}: Add {W}.",
White Lotus Tile,missing,Easy,Artifact,{4},4.0,mythic,tla,2025-11-21,,"This artifact enters tapped.
{T}: Add X mana of any one color, where X is the greatest number of creatures you control that have a creature type in common.",
Your Mana Rock,missing,Easy,Artifact,{2},2.0,common,unk,2023-07-29,,"Your Mana Rock enters the battlefield tapped.
During deckbuilding, write two different colors on Your Mana Rock.
{T}: Add one mana of a color written on Your Mana Rock.",
Weeping Angel,missing,Easy,Artifact Creature — Alien Angel,{1}{U}{B},3.0,rare,who,2023-10-13,"Vigilance, First strike, Flash","Flash
First strike, vigilance
Whenever an opponent casts a creature spell, this creature isn't a creature until end of turn.
If this creature would deal combat damage to a creature, prevent that damage and that creature's owner shuffles it into their library.",
Platinum Persecutor,missing,Easy,Artifact Creature — Angel Demon,{5},5.0,rare,unk,2023-02-17,Flying,"Flying
Players can't lose the game or win the game.
At the beginning of your upkeep, if each player has an empty library, sacrifice Platinum Persecutor and you win the game.",
Helbrute,missing,Easy,Artifact Creature — Astartes Dreadnought,{3}{B}{R},5.0,rare,40k,2022-10-07,Haste,"Haste
Sarcophagus — You may cast this card from your graveyard by exiling another creature card from your graveyard in addition to paying its other costs.",
Unclaimed Tanadon,missing,Easy,Artifact Creature — Beast,{5}{G}{G},7.0,common,unk,2023-02-17,,"If you're on the Mirran team, this card costs {1} less to cast.
If you're on the Phyrexian team, the colored mana symbols in Unclaimed Tanadon's mana cost are Phyrexian mana. (You can pay them either with {G} or 2 life.)",
Spotlight Falcon,missing,Easy,Artifact Creature — Bird,{2}{W}{W},4.0,rare,ymkm,2024-03-05,"Flying, Collect evidence, Conjure","As an additional cost to cast this spell, you may collect evidence 5.
Flying
When Spotlight Falcon enters, if evidence was collected, conjure a card named Spotlight Falcon into your hand.",
Stocking Tiger,missing,Easy,Artifact Creature — Cat Construct,{5},5.0,rare,hho,2013-12-01,,"Stocking Tiger enters with a sealed Magic booster pack under it.
When Stocking Tiger deals combat damage to a player, unwrap the booster pack and put it into your hand.",
Non-Human Cannonball,missing,Easy,Artifact Creature — Clown Robot,{2}{R},3.0,common,unf,2022-10-07,,"When this creature dies, roll a six-sided die. If the result is 4 or less, this creature deals that much damage to you.",
T.A.P.P.E.R.,missing,Easy,Artifact Creature — Clown Robot,{W},1.0,common,unf,2022-10-07,,"{T}, Tap an untapped creature you control that has a hat: Tap target creature.",
Assembled Ensemble,missing,Easy,Artifact Creature — Clown Robot Bard,{4}{W},5.0,uncommon,unf,2022-10-07,Vigilance,"Vigilance
Assembled Ensemble's power is equal to the number of Robots you control.
Whenever you cast a spell with an artifact creature in its art, create a 1/1 white Clown Robot artifact creature token.",
One-Clown Band,missing,Easy,Artifact Creature — Clown Robot Bard,{1}{R},2.0,common,unf,2022-10-07,,{2}{R}: Target Robot gets +2/+0 until end of turn.,
Biblioplex Tomekeeper,missing,Easy,Artifact Creature — Construct,{4},4.0,common,sos,2026-04-24,Prepared,"When this creature enters, choose up to one —
• Target creature becomes prepared. (Only creatures with prepare spells can become prepared.)
• Target creature becomes unprepared.",
Chronobot,missing,Easy,Artifact Creature — Construct,{2},2.0,rare,cmb1,2019-11-07,,"When Chronobot enters, switch upkeep steps with target opponent for as long as it remains on the battlefield. (You take your upkeep on their turn, and they take their upkeep on your turn.)",
Colossus of the Blood Age,missing,Easy,Artifact Creature — Construct,{4}{R}{W},6.0,uncommon,sos,2026-04-24,,"When this creature enters, it deals 3 damage to each opponent and you gain 3 life.
When this creature dies, discard any number of cards, then draw that many cards plus one.",
Cryptothrall,missing,Easy,Artifact Creature — Construct,{4},4.0,rare,40k,2022-10-07,Protector,Protector — Other artifact creatures you control have hexproof.,
Forgefire Automaton,missing,Easy,Artifact Creature — Construct,{7},7.0,mythic,ybro,2022-12-13,Prototype,"Prototype {2}{B} — 3/2
At the beginning of your upkeep, return target creature card with power less than this creature's power from your graveyard to the battlefield. Its base power perpetually becomes equal to this creature's power.",
Living Lectern,missing,Easy,Artifact Creature — Construct,{1}{U},2.0,common,woe,2023-09-08,"Role token, Scry","{1}, Sacrifice this creature: Draw a card. Create a Sorcerer Role token attached to up to one other target creature you control. Activate only as a sorcery. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ""Whenever this creature attacks, scry 1."")",
Manakin and Millikin,missing,Easy,Artifact Creature — Construct,{3},3.0,rare,unk,2023-05-06,Mill,"{T}, Mill a card: Add {C}{C}.",
Pit Automaton,missing,Easy,Artifact Creature — Construct,{2},2.0,uncommon,dft,2025-02-14,Defender,"Defender
{T}: Add {C}{C}. Spend this mana only to activate abilities.
{2}, {T}: When you next activate an exhaust ability that isn't a mana ability this turn, copy it. You may choose new targets for the copy.",
Urza's Construction Drone,missing,Easy,Artifact Creature — Construct,{3},3.0,rare,ybro,2022-12-13,"Seek, Conjure","When Urza's Construction Drone enters, conjure cards named Urza's Mine, Urza's Power Plant, and Urza's Tower into your library, then shuffle.
Whenever Urza's Construction Drone attacks or dies, seek an Urza's land card.",
Warzone Duplicator,missing,Easy,Artifact Creature — Construct,{6},6.0,rare,ybro,2022-12-13,"Conjure, Prototype","Prototype {3}{U} — 3/3
When this creature enters, return target creature an opponent controls with power less than this creature's power to its owner's hand. If that creature wasn't a token, conjure a duplicate of it into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell.""",
